"","title","english","authors","doi","date","year","peer.reviewed","preprint","no_peerreview","quality_control","standard_procedure","preliminary","comments_ra"
"2","A Proposed Framework Based On Literature Review 
of Online Contextual Mental Health Services to Enhance Wellbeing and 
Address Psychopathology During COVID-19","1","Ahmet Tanhank Fatih Yavuz, J. Scott Young, Ahmet Nalbant, Gökmen Arslan, Murat Yıldırım, Sevinç Ulusoy, Emel Genç, Erol Uğurİlhan Çiçek","10.31219/osf.io/4wbd8","05.06.","2020","2","0","0","0","0","0",""
"3","Pengelolaan Sampah Mandiri Sebagai Strategi Pemberdayaan Masyarakat","0","Ertien Nawangsari","10.31219/osf.io/vhuze","05.06.","2020","0","0","0","0","0","0",""
"4","PEMBERDAYAAN PETANI SEBAGAI UPAYA MENINGKATKAN 
KETAHANAN PANGAN (Studi tentang Program Gabungan Kelompok Tani di Desa 
Menganti, Kecamatan Menganti, Gresik)","0","Ertien Nawangsari
                        ","10.31219/osf.io/zk9nf","05.06.","2020","1","0","0","0","0","0",""
"5","Extending Goldberg’s bass-ackwards method for delineating hierarchical structural models in individual differences data","1","Miriam Forbes","10.31219/osf.io/ksxwv","05.06.","2020","0","2","1","0","0","1","This paper has not been peer-reviewed and is not the 
version of record"
"6","Bathing facilities and health phronesis: a preliminary English investigation","1","Simon Huston","10.31219/osf.io/4atsk","05.06.","2020","0","0","0","0","0","0",""
"7","How morphology impacts reading and spelling: Advancing the role of morphology in models of literacy development","1","Kyle Levesque, Helen Breadmore, Helene Deacon","10.31219/osf.io/b5zc3","05.06.","2020","1","0","0","0","0","0","peer-reviewed Publication Doi "
"8","Ego-depletion or mental fatigue?  Commentary: 
“Strong Effort Manipulations Reduce Response Caution: A Preregistered 
Reinvention of the Ego-Depletion Paradigm”","1","Cyril Forestier, Aïna Chalabaev","10.31219/osf.io/ekzsv","05.06.","2020","0","2","1","0","0","0",""
"9","Overestimation of volatility in schizophrenia and autism? A comparative study using a probabilistic reasoning task","1","Isabel Kreis, Robert Biegler,  Håkon Tjelmeland, Matthias Mittner, Solveig Klæbo Reitan, Gerit Pfuhl","10.31219/osf.io/ea3kz","05.06.","2019","0","0","0","0","0","0",""
"10","Naskah Kebijakan Lansia_P2 Kependudukan LIPI","0","Marya Sitohang","10.31219/osf.io/m9x8t","05.06.","2020","0","0","0","0","0","0",""
"11","On the Applicability of the Black-Scholes Model to the Inverse Quantity of Price (Under Peer-Review)","1","Hiroki Tahara","10.31219/osf.io/fgnca","05.06.","2020","0","0","2","0","0","0","information under peer review only in the osf title"
"12","Naskah Kebijakan JKN_P2 Kependudukan LIPI","0","Marya Sitohang","10.31219/osf.io/2zvum","05.06.","2020","0","0","0","0","0","0",""
"13","The effect of experts’ and laypeople’s forecasts on others’ stock market forecasts","1","Christoph Huber, Juergen Huber, Laura Hueber","10.31219/osf.io/57m6g","05.06.","2019","1","1","0","0","0","0","draft, es gibt eine akzeptierte Version"
