"","title","english","authors","doi","date","year","peer.reviewed","preprint","no_peerreview","quality_control","standard_procedure","preliminary","comments_ra"
"2","Reviewers' Decision to Sign Reviews is Related to Their Recommendation","1","Nino van Sambeek, Daniel Lakens","10.31234/osf.io/4va6p","04.06.20","2019","1","0","0","0","0","0",""
"3","Turking in the time of COVID","1","Antonio Arechar, David Rand","10.31234/osf.io/vktqu","04.06.20","2020","0","1","1","0","0","0","working paper"
"4","JASP (Software)","1","Hyemin Han, Kelsie Dawson","10.31234/osf.io/67dcb","04.06.20","2020","0","0","0","0","0","0","Statistik (Programm) Paper"
"5","Mental health outcomes of quarantine and isolation for infection prevention: A systematic umbrella review of the global evidence","1","Md Mahbub Hossain, Abida Sultana, Neetu Purohit","10.31234/osf.io/dz5v2","04.06.20","2020","1","0","0","0","0","0","peer reviewed doi"
"6","The Relevance of Subjective Benefits in Risky Choice Across ten Domains of Life","1","Jana Jarecki, Andreas Wilke","10.31234/osf.io/x2n6f","04.06.20","2020","0","0","0","0","0","0",""
"7","Origins of music in credible signaling","1","Samuel Mehr, Max Krasnow, Gregory Bryant, Edward Hagen","10.31234/osf.io/nrqb3","04.06.20","2020","0","0","0","0","0","0",""
"8","Motion Induced Colours Fusion","1","Ahmad Yousef","10.31234/osf.io/mkth2","04.06.20","2019","0","0","0","0","0","0",""
"9","Exploratory play, rational action, and efficient search","1","Junyi Chu, Laura Schulz","10.31234/osf.io/9yra2","04.06.20","2020","0","0","0","0","0","0",""
"10","Prospect Theory and Optimal Risky Choices with Goals","1","Jana Jarecki, Jörg Rieskamp","10.31234/osf.io/x5uhk","04.06.20","2020","1","0","0","0","0","0","version accepted"
"11","State Pod Automatism as Art Therapy.","1","Anil Kumar Bheemaiah","10.31234/osf.io/7bt3c","04.06.20","2020","0","0","0","0","0","0",""
"12","Emotion Differentiation During the Transition to Parenthood – Concurrent and Prospective Positive Effects","1","Affect and Relationships Lab","10.31234/osf.io/7grf2","04.06.20","2020","0","1","1","0","0","0","manuscript under review (preprint)"
"13","Imprecise Action Selection in Substance Use Disorder: Evidence for Active Learning Impairments When Solving the Explore-Exploit Dilemma","1","Ryan Smith, Philipp Schwartenbeck, Jennifer L. Stewart, Rayus Kuplicki, Hamed Ekhtiari, T1000 Investigators, Martin Paulus","10.31234/osf.io/a794k","04.06.20","2020","0","0","0","0","0","0",""
"14","Attitudes about COVID-19 in Canada, the U.K., and the U.S.A.: A novel test of political polarization and motivated reasoning","1","Gordon Pennycook, Jonathon McPhetres, Bence Bago, David Rand","10.31234/osf.io/zhjkp","04.06.20","2020","0","1","1","0","0","0","working paper"
"15","Psychometric evaluation of an Italian adaptation of the PROMIS® anxiety short form in Immune-Mediated Inflammatory Diseases. An Item Response Theory analysis.","1","Rocco Spagnuolo, Gabriella Antonucci, Rosa Daniela Grembiale, Cristina Cosco, Vanessa Funari, Stefano Dastoli, Steven Paul Nisticò, Patrizia Doldo, Marco Tullio Liuzza","10.31234/osf.io/ja9ur","04.06.20","2020","0","0","0","0","0","0",""
"16","Longitudinal changes in mental health and the COVID-19 pandemic: Evidence from the UK Household Longitudinal Study","1","Michael Daly, Angelina Sutin, Eric Robinson","10.31234/osf.io/qd5z7","04.06.20","2020","0","1","1","0","0","0","working draft"
"17","Spring break or heart break? Extending valence bias to emotional words","1","Nicholas Harp, Catie Brown, Maital Neta","10.31234/osf.io/mrg3t","04.06.20","2020","0","0","0","0","0","0",""
"18","The emergence of word order conventions: improvisation, interaction and transmission","1","Marieke Schouwstra, Kenny Smith, Simon Kirby","10.31234/osf.io/wdfu2","04.06.20","2020","0","0","0","0","0","0",""
