"";"credibility1";"credibility2";"credibility3";"credibility4";"credibility5";"quality_control";"standard_procedure";"Attention.check";"gender";"age";"knowledge_peerreview";"knowledge_preprints";"condition";"credibility"
"9";7;4;2;5;3;5;5;1;"2";30;"2";"2";"preprint_noinfo";4,2
"10";5;6;5;6;6;5;6;1;"1";25;"2";"2";"peer-review";5,6
"11";6;6;7;6;5;6;5;1;"1";47;"1";"1";"preprint_noinfo";6
"12";2;7;7;6;5;7;4;1;"1";60;"1";"1";"preprint_noinfo";5,4
"13";6;7;6;5;6;6;7;1;"1";26;"1";"2";"preprint_info";6
"14";6;5;3;5;5;5;6;1;"1";42;"1";"1";"preprint_info";4,8
"15";6;5;6;6;6;6;5;1;"2";40;"2";"2";"preprint_noinfo";5,8
"16";7;7;6;7;7;7;6;1;"1";28;"1";"1";"peer-review";6,8
"17";7;7;7;7;7;7;7;1;"1";38;"1";"2";"peer-review";7
"18";4;5;5;5;4;5;4;1;"1";25;"2";"2";"preprint_noinfo";4,6
"19";5;5;5;6;6;5;6;1;"1";26;"1";"1";"preprint_noinfo";5,4
"20";6;6;7;6;6;6;7;1;"1";33;"2";"2";"preprint_info";6,2
"21";5;6;6;6;5;6;5;1;"1";44;"2";"2";"preprint_noinfo";5,6
"22";6;6;7;6;7;7;7;1;"1";35;"1";"1";"preprint_noinfo";6,4
"24";7;7;7;7;7;7;7;1;"1";50;"1";"1";"peer-review";7
"25";6;4;1;7;3;4;5;1;"1";34;"1";"2";"peer-review";4,2
"26";3;5;1;5;5;4;4;1;"2";26;"1";"2";"preprint_noinfo";3,8
"27";5;5;4;6;4;5;6;1;"1";29;"2";"2";"preprint_noinfo";4,8
"28";5;5;2;6;5;6;5;1;"1";27;"1";"2";"peer-review";4,6
"29";5;5;5;6;6;7;6;1;"1";25;"2";"2";"preprint_noinfo";5,4
"30";7;7;6;7;6;6;7;1;"2";30;"1";"1";"preprint_noinfo";6,6
"31";6;7;7;6;6;7;6;1;"1";26;"1";"1";"preprint_info";6,4
"32";5;4;5;5;5;5;4;1;"1";45;"2";"2";"peer-review";4,8
"33";3;4;3;3;2;5;4;1;"1";36;"1";"2";"preprint_noinfo";3
"34";6;6;7;4;5;5;7;1;"2";37;"2";"2";"preprint_noinfo";5,6
"35";6;6;6;5;6;7;6;1;"1";49;"1";"1";"peer-review";5,8
"36";1;1;1;7;1;4;4;1;"1";58;"2";"2";"preprint_info";2,2
"37";5;6;5;5;5;5;4;1;"1";25;"1";"1";"peer-review";5,2
"38";6;5;6;5;3;5;3;1;"1";44;"1";"1";"preprint_info";5
"40";3;4;4;3;4;5;6;1;"1";37;"2";"2";"peer-review";3,6
"41";6;5;4;5;5;4;3;1;"2";29;"1";"1";"peer-review";5
"42";6;7;1;5;6;5;6;1;"2";35;"2";"2";"peer-review";5
"44";5;5;5;6;4;4;5;1;"1";30;"1";"1";"peer-review";5
"45";6;7;7;6;7;7;6;1;"1";40;"2";"1";"preprint_noinfo";6,6
"46";4;7;1;7;1;3;4;1;"1";35;"2";"2";"preprint_noinfo";4
"47";6;2;2;4;5;3;3;1;"2";44;"1";"2";"peer-review";3,8
"48";5;4;2;2;3;2;2;1;"1";35;"1";"1";"peer-review";3,2
"49";2;4;2;4;1;2;1;1;"1";30;"1";"2";"preprint_info";2,6
"50";1;7;4;1;7;3;7;1;"2";31;"1";"2";"preprint_noinfo";4
"51";3;2;2;4;2;2;1;1;"2";32;"1";"2";"preprint_info";2,6
"52";6;6;6;6;5;6;5;1;"1";30;"1";"1";"preprint_info";5,8
"53";7;6;7;6;7;7;5;1;"1";25;"1";"1";"peer-review";6,6
"54";6;6;7;5;5;6;5;1;"1";30;"1";"1";"preprint_info";5,8
"55";3;4;4;5;5;6;5;1;"1";25;"2";"2";"peer-review";4,2
"56";6;1;2;3;1;4;4;1;"1";35;"1";"2";"preprint_info";2,6
"57";6;6;6;6;5;6;5;1;"2";33;"1";"1";"preprint_noinfo";5,8
"58";6;6;6;6;6;5;5;1;"1";33;"1";"1";"peer-review";6
"59";6;5;6;5;6;5;6;1;"1";40;"2";"2";"preprint_noinfo";5,6
"60";6;6;6;7;6;6;7;1;"1";66;"1";"1";"peer-review";6,2
"61";4;5;4;2;5;4;4;1;"1";42;"1";"2";"peer-review";4
"63";4;4;2;4;4;3;5;1;"2";27;"1";"2";"preprint_info";3,6
"64";1;2;1;6;4;2;1;1;"2";37;"1";"2";"preprint_info";2,8
"65";7;6;6;7;6;7;6;1;"1";29;"1";"1";"preprint_info";6,4
"67";5;6;6;6;4;6;5;1;"1";29;"2";"2";"preprint_info";5,4
"68";4;4;2;4;4;4;4;1;"2";27;"1";"2";"preprint_info";3,6
"69";3;4;1;2;3;2;3;1;"2";20;"1";"1";"preprint_noinfo";2,6
"71";6;3;3;3;3;2;3;1;"2";29;"1";"2";"preprint_info";3,6
"72";6;6;4;5;6;6;5;1;"1";40;"2";"2";"preprint_noinfo";5,4
"73";5;3;4;6;5;5;5;1;"1";69;"1";"1";"peer-review";4,6
"74";6;6;6;5;6;6;6;1;"1";40;"1";"1";"peer-review";5,8
"75";6;5;4;4;5;4;6;1;"1";54;"1";"1";"preprint_noinfo";4,8
"76";6;3;1;6;3;2;4;1;"2";36;"1";"1";"peer-review";3,8
"77";2;5;1;3;1;2;1;1;"1";43;"1";"2";"preprint_info";2,4
"78";6;5;4;5;5;5;5;1;"2";38;"2";"2";"preprint_noinfo";5
