"";"credibility1";"credibility2";"credibility3";"credibility4";"credibility5";"psychology";"gender";"knowledge_preprints";"knowledge_peerreview";"vorherige.Studie";"condition";"age";"credibility"
"3";5;5;3;6;4;"1";"1";"1";"1";"2";"peer-review";46;4,6
"4";5;5;2;6;2;"2";"1";"1";"1";"4";"preprint";25;4
"5";5;5;3;5;3;"2";"1";"2";"2";"4";"peer-review";23;4,2
"6";7;7;3;6;3;"1";"2";"2";"2";"4";"preprint";32;5,2
"7";5;2;1;7;2;"2";"1";"2";"1";"4";"preprint";23;3,4
"8";6;2;2;6;5;"1";"2";"2";"1";"4";"peer-review";29;4,2
"9";6;3;2;7;1;"2";"2";"2";"1";"";"preprint";22;3,8
"10";7;2;2;6;3;"1";"1";"2";"2";"2";"peer-review";21;4
"12";5;6;4;6;2;"1";"1";"2";"2";"2";"peer-review";22;4,6
"13";5;5;1;5;4;"1";"1";"2";"2";"2";"peer-review";21;4
"14";5;6;2;7;4;"1";"2";"1";"1";"2";"peer-review";19;4,8
"15";4;3;4;5;4;"1";"1";"2";"1";"2";"peer-review";27;4
"16";6;2;2;5;2;"1";"2";"2";"2";"2";"peer-review";26;3,4
"17";2;6;3;2;4;"1";"1";"2";"2";"2";"peer-review";25;3,4
"18";7;5;1;5;2;"1";"1";"2";"1";"2";"preprint";21;4
"19";4;6;2;6;3;"1";"1";"2";"1";"2";"preprint";24;4,2
"21";6;5;2;7;2;"1";"1";"2";"2";"4";"peer-review";28;4,4
"22";6;5;3;6;4;"1";"1";"1";"2";"2";"preprint";26;4,8
"23";3;3;2;5;3;"1";"1";"2";"1";"2";"preprint";21;3,2
"24";6;6;5;5;4;"1";"2";"2";"2";"2";"preprint";20;5,2
"25";2;7;6;4;7;"1";"1";"2";"2";"4";"peer-review";55;5,2
"28";3;3;2;4;3;"1";"1";"2";"2";"2";"preprint";19;3
"30";4;3;2;6;1;"1";"1";"2";"2";"2";"preprint";19;3,2
"34";2;6;1;3;2;"1";"1";"1";"2";"2";"preprint";44;2,8
"36";4;2;1;3;4;"1";"2";"2";"1";"2";"peer-review";28;2,8
"38";7;5;2;7;3;"1";"1";"2";"2";"2";"peer-review";21;4,8
"39";7;6;1;4;5;"2";"1";"2";"1";"";"peer-review";28;4,6
"41";5;3;3;5;3;"1";"1";"2";"2";"2";"peer-review";37;3,8
"43";6;3;3;5;4;"1";"1";"2";"1";"2";"peer-review";28;4,2
"45";7;6;4;6;3;"";"";"";"";"";"peer-review";NA;5,2
"48";5;5;4;7;5;"1";"1";"2";"2";"2";"peer-review";42;5,2
"50";7;7;2;5;6;"1";"1";"1";"1";"2";"peer-review";22;5,4
"57";6;6;2;5;3;"1";"2";"2";"1";"2";"preprint";22;4,4
"59";4;4;2;4;1;"1";"2";"1";"1";"2";"peer-review";23;3
"60";4;2;6;6;3;"1";"2";"1";"1";"4";"preprint";66;4,2
"61";6;3;3;6;2;"1";"1";"2";"2";"2";"peer-review";20;4
"63";6;4;4;6;5;"1";"1";"2";"1";"2";"peer-review";20;5
"66";6;4;2;4;3;"2";"1";"2";"2";"4";"peer-review";29;3,8
"67";1;3;1;4;3;"1";"1";"2";"2";"2";"peer-review";22;2,4
"69";5;5;1;4;3;"1";"1";"2";"2";"2";"preprint";22;3,6
"71";6;6;3;5;4;"1";"1";"2";"2";"2";"preprint";23;4,8
"75";5;6;1;6;4;"1";"2";"2";"1";"2";"preprint";28;4,4
"77";4;2;3;4;2;"1";"2";"2";"2";"2";"preprint";34;3
"78";4;5;3;7;5;"1";"1";"2";"1";"4";"preprint";32;4,8
"79";6;2;5;6;2;"2";"2";"2";"1";"4";"preprint";30;4,2
