"";"tu_manpre";"tu_manpreb";"tu_manpeer";"tu_manpeerb";"credibility1";"credibility2";"credibility3";"credibility4";"credibility5";"quality_control";"standard_procedure";"gender";"age";"knowledge_peerreview";"knowledge_preprints";"familiar";"education";"condition";"credibility"
"4";"";"";"2";"5";5;4;5;4;4;4;5;"1";22;"2";"2";4;3;"peer-review";4,4
"6";"";"";"5";"";7;7;7;7;7;7;7;"1";37;"1";"1";7;3;"peer-review";7
"15";"";"";"5";"";6;5;5;5;6;5;6;"1";26;"1";"1";5;3;"peer-review";5,4
"16";"";"";"5";"";5;5;6;6;7;6;5;"1";59;"1";"1";6;4;"peer-review";5,8
"31";"";"";"5";"";4;5;6;5;4;5;6;"1";49;"2";"2";2;3;"peer-review";4,8
"32";"";"";"5";"";7;7;7;7;7;7;7;"1";27;"2";"2";1;2;"peer-review";7
"35";"";"";"5";"";6;7;5;4;6;6;7;"1";29;"1";"1";6;4;"peer-review";5,6
"36";"";"";"5";"";6;4;5;6;5;4;4;"2";32;"2";"2";5;2;"peer-review";5,2
"37";"";"";"5";"";5;4;3;2;5;4;5;"2";32;"1";"2";4;3;"peer-review";3,8
"38";"";"";"5";"";5;5;3;5;2;3;6;"2";42;"1";"1";5;3;"peer-review";4
"39";"";"";"5";"";5;5;3;6;3;5;5;"1";28;"1";"2";3;3;"peer-review";4,4
"41";"";"";"5";"";5;6;4;6;4;3;5;"2";24;"1";"2";4;3;"peer-review";5
"48";"";"";"5";"";4;5;3;3;3;2;4;"1";37;"1";"2";4;3;"peer-review";3,6
"49";"";"";"5";"";6;7;3;6;5;3;5;"2";40;"1";"2";3;3;"peer-review";5,4
"57";"";"";"5";"";3;2;3;3;3;4;3;"1";23;"1";"1";3;2;"peer-review";2,8
"62";"";"";"5";"";5;6;5;5;6;5;6;"2";47;"1";"2";5;4;"peer-review";5,4
"64";"";"";"5";"";4;6;1;4;6;5;5;"2";25;"1";"1";7;3;"peer-review";4,2
"65";"";"";"7";"5";4;5;7;7;6;6;7;"1";29;"2";"2";7;3;"peer-review";5,8
"81";"";"";"5";"";3;2;6;2;3;3;5;"2";30;"1";"1";5;4;"peer-review";3,2
"83";"";"";"7";"5";5;5;6;5;5;6;6;"2";53;"1";"1";6;3;"peer-review";5,2
"88";"";"";"5";"";6;5;4;5;2;3;4;"2";23;"1";"2";4;3;"peer-review";4,4
"93";"";"";"5";"";3;5;2;6;5;4;4;"2";32;"1";"2";4;3;"peer-review";4,2
"94";"";"";"3";"5";5;6;5;5;7;7;6;"1";29;"1";"1";6;3;"peer-review";5,6
"100";"";"";"5";"";6;5;2;5;3;5;7;"1";31;"1";"2";3;3;"peer-review";4,2
"103";"";"";"5";"";7;7;6;7;6;6;7;"2";51;"1";"1";7;4;"peer-review";6,6
"106";"";"";"5";"";5;6;2;6;5;4;4;"1";66;"2";"2";1;2;"peer-review";4,8
"113";"";"";"7";"5";4;3;5;4;2;5;5;"1";35;"1";"1";4;3;"peer-review";3,6
"119";"";"";"5";"";5;6;6;6;3;6;6;"2";25;"1";"2";2;2;"peer-review";5,2
"120";"";"";"5";"";6;3;2;5;5;5;5;"1";27;"1";"2";4;3;"peer-review";4,2
"125";"";"";"5";"";7;7;7;7;7;7;7;"1";50;"1";"1";7;3;"peer-review";7
"126";"";"";"5";"";2;5;1;2;1;1;3;"2";26;"1";"2";1;2;"peer-review";2,2
"130";"";"";"5";"";6;2;2;5;2;2;2;"1";55;"1";"2";1;2;"peer-review";3,4
"131";"";"";"5";"";1;1;1;1;1;1;1;"2";47;"1";"1";4;4;"peer-review";1
"136";"";"";"5";"";7;5;6;7;2;6;7;"1";45;"1";"1";7;4;"peer-review";5,4
"137";"";"";"5";"";5;4;1;3;1;2;4;"2";26;"1";"2";3;3;"peer-review";2,8
"138";"";"";"5";"";5;6;2;5;4;4;4;"1";30;"1";"2";2;2;"peer-review";4,4
"139";"";"";"5";"";6;6;3;6;6;6;6;"1";38;"1";"2";4;4;"peer-review";5,4
"141";"";"";"5";"";5;6;5;6;6;5;5;"1";25;"2";"2";2;3;"peer-review";5,6
"146";"";"";"3";"5";5;5;5;5;5;5;5;"2";38;"1";"1";5;2;"peer-review";5
"147";"";"";"5";"";2;2;1;1;1;1;2;"2";63;"1";"2";2;3;"peer-review";1,4
"148";"";"";"5";"";6;7;1;5;1;1;7;"1";42;"1";"2";5;2;"peer-review";4
"152";"";"";"5";"";5;4;5;6;4;6;6;"1";36;"1";"2";4;3;"peer-review";4,8
"155";"";"";"5";"";5;6;5;5;4;5;4;"1";38;"1";"2";5;3;"peer-review";5
"157";"";"";"5";"";5;5;4;2;2;4;6;"1";32;"1";"2";4;4;"peer-review";3,6
