"";"Consent";"credibility_pre";"credibility_peer";"psychologie";"gender";"age";"knowledge_preprint";"knowledge_peerreview"
"4";"2";3;5;"1";"1";26;"1";"1"
"5";"2";3;6;"1";"1";27;"2";"1"
"6";"2";4;7;"2";"2";29;"2";"1"
"7";"2";5;5;"1";"1";32;"1";"1"
"8";"2";6;7;"2";"1";26;"2";"1"
"9";"2";5;7;"2";"1";19;"2";"2"
"10";"2";4;5;"1";"1";27;"1";"1"
"11";"2";5;7;"1";"2";28;"1";"1"
"12";"2";5;6;"1";"1";24;"1";"1"
"14";"2";4;4;"2";"1";33;"1";"1"
"15";"2";5;6;"2";"2";27;"1";"1"
"16";"2";4;5;"1";"1";26;"1";"1"
"17";"2";4;6;"1";"1";25;"2";"1"
"19";"2";5;6;"1";"1";26;"2";"1"
"20";"2";3;7;"1";"2";29;"2";"1"
"21";"2";4;4;"1";"1";32;"1";"1"
"23";"2";4;6;"2";"1";26;"1";"1"
"24";"2";5;4;"1";"2";30;"1";"1"
"25";"2";3;2;"2";"1";22;"2";"1"
"26";"2";4;7;"2";"2";30;"1";"1"
"27";"2";3;6;"1";"1";37;"2";"1"
"28";"2";5;7;"2";"2";30;"1";"2"
"29";"2";4;6;"2";"1";25;"1";"1"
"30";"2";5;6;"1";"1";25;"1";"1"
"31";"2";4;5;"2";"2";57;"1";"1"
"33";"2";4;6;"2";"2";26;"1";"1"
"35";"2";4;7;"2";"2";22;"2";"1"
"36";"2";3;5;"2";"1";28;"2";"2"
"37";"2";5;7;"2";"1";24;"2";"1"
"38";"2";4;5;"2";"1";30;"2";"2"
"39";"2";4;7;"1";"1";25;"2";"1"
"40";"2";5;7;"2";"1";63;"2";"2"
"41";"2";6;6;"1";"2";22;"1";"1"
"42";"2";4;7;"2";"1";22;"2";"2"
"44";"2";4;7;"2";"1";27;"1";"1"
"45";"2";3;6;"1";"1";27;"2";"1"
"46";"2";4;6;"1";"1";27;"2";"1"
"47";"2";5;7;"2";"1";27;"1";"1"
"48";"2";3;5;"2";"1";28;"2";"2"
"49";"2";4;6;"2";"2";28;"2";"1"
"50";"2";4;5;"2";"1";37;"1";"2"
"52";"2";5;6;"1";"1";27;"1";"1"
"53";"2";2;2;"2";"1";41;"2";"2"
"54";"2";4;6;"2";"2";60;"2";"2"
"56";"2";4;4;"2";"1";27;"2";"2"
"58";"2";4;7;"2";"1";20;"1";"1"
"59";"2";2;5;"2";"1";41;"2";"2"
"60";"2";3;5;"2";"1";48;"1";"1"
"62";"2";2;2;"2";"1";47;"2";"2"
"64";"2";4;6;"1";"1";29;"1";"1"
"65";"2";3;3;"1";"2";35;"1";"1"
"66";"2";3;6;"2";"1";47;"2";"2"
