"";"understanding_peer";"understanding_pre";"credibility1";"credibility2";"credibility3";"credibility4";"credibility5";"psychology";"gender";"age";"knowledge_preprints";"knowledge_peerreview";"condition";"credibility"
"9";"1";"1";4;5;3;3;3;"1";"2";23;"1";"1";"Manipulation_peerreview";3,6
"10";"1";"1";4;4;4;4;4;"1";"2";20;"2";"1";"Manipulation_preprint";4
"11";"1";"1";3;5;1;2;2;"1";"1";20;"2";"2";"Manipulation_peerreview";2,6
"12";"1";"1";3;5;2;5;2;"1";"1";21;"2";"1";"Manipulation_preprint";3,4
"15";"1";"1";4;3;2;5;3;"1";"1";23;"2";"1";"Manipulation_preprint";3,4
"16";"1";"1";6;5;3;3;5;"1";"2";20;"1";"1";"Manipulation_peerreview";4,4
"17";"1";"1";7;5;2;2;4;"1";"1";21;"2";"2";"Manipulation_preprint";4
"18";"1";"1";6;5;3;6;2;"1";"1";20;"2";"1";"Manipulation_peerreview";4,4
"19";"1";"1";6;5;2;6;3;"1";"2";31;"2";"1";"Manipulation_preprint";4,4
"20";"1";"1";5;6;3;4;5;"1";"1";29;"2";"1";"Manipulation_peerreview";4,6
"21";"1";"1";6;2;3;4;2;"1";"2";25;"2";"1";"Manipulation_preprint";3,4
"22";"1";"1";5;4;5;5;3;"1";"1";21;"2";"2";"Manipulation_peerreview";4,4
"23";"1";"1";7;5;3;6;6;"1";"1";20;"2";"1";"Manipulation_peerreview";5,4
"25";"1";"1";5;3;3;3;3;"1";"1";23;"2";"1";"Manipulation_preprint";3,4
"26";"1";"1";5;3;2;4;3;"1";"1";27;"1";"2";"Manipulation_peerreview";3,4
"27";"1";"1";7;3;4;5;3;"1";"2";20;"2";"1";"Manipulation_preprint";4,4
"28";"1";"1";6;6;3;5;4;"1";"1";28;"2";"1";"Manipulation_peerreview";4,8
"29";"1";"1";5;3;2;5;3;"1";"2";22;"2";"2";"Manipulation_peerreview";3,6
"30";"1";"1";5;5;1;5;2;"1";"1";21;"2";"2";"Manipulation_preprint";3,6
"31";"1";"1";5;5;2;4;5;"1";"1";24;"2";"1";"Manipulation_peerreview";4,2
"32";"1";"1";5;5;2;2;6;"1";"1";21;"1";"1";"Manipulation_preprint";4
"33";"1";"1";6;4;3;5;3;"1";"1";21;"1";"1";"Manipulation_peerreview";4,2
"34";"1";"1";5;3;1;3;2;"1";"1";21;"1";"1";"Manipulation_preprint";2,8
"36";"1";"1";5;4;3;5;4;"1";"1";21;"2";"1";"Manipulation_peerreview";4,2
"37";"1";"2";2;2;3;3;3;"1";"1";25;"2";"1";"Manipulation_preprint";2,6
"38";"1";"1";6;4;3;5;2;"1";"1";21;"2";"1";"Manipulation_preprint";4
"39";"1";"1";6;3;3;5;4;"1";"1";26;"1";"1";"Manipulation_peerreview";4,2
"40";"1";"1";6;5;1;3;4;"1";"2";29;"1";"1";"Manipulation_peerreview";3,8
"41";"1";"1";3;3;3;2;3;"1";"2";24;"2";"2";"Manipulation_preprint";2,8
"42";"1";"2";3;3;2;2;3;"1";"1";22;"2";"2";"Manipulation_preprint";2,6
"43";"1";"1";4;6;3;5;5;"1";"1";22;"2";"1";"Manipulation_peerreview";4,6
"45";"1";"1";3;5;1;5;2;"1";"2";20;"2";"1";"Manipulation_preprint";3,2
"46";"1";"2";6;3;5;6;4;"1";"2";30;"2";"1";"Manipulation_peerreview";4,8
"47";"1";"1";6;5;3;6;3;"1";"2";42;"2";"1";"Manipulation_peerreview";4,6
"48";"1";"2";5;3;5;3;4;"1";"1";32;"1";"1";"Manipulation_preprint";4
"49";"1";"1";4;5;3;6;3;"1";"1";24;"2";"1";"Manipulation_peerreview";4,2
"50";"1";"1";5;5;1;5;3;"1";"1";18;"2";"2";"Manipulation_preprint";3,8
"51";"1";"1";5;6;1;5;3;"1";"1";25;"2";"1";"Manipulation_preprint";4
"52";"1";"1";7;2;3;6;4;"1";"1";22;"2";"1";"Manipulation_peerreview";4,4
"53";"1";"1";5;3;5;5;1;"1";"2";33;"2";"1";"Manipulation_peerreview";3,8
"54";"1";"1";5;3;5;5;2;"1";"2";33;"1";"2";"Manipulation_peerreview";4
"55";"1";"1";4;3;1;2;3;"1";"1";24;"1";"1";"Manipulation_preprint";2,6
"56";"1";"1";5;4;3;5;3;"1";"1";19;"2";"1";"Manipulation_preprint";4
"57";"1";"1";6;6;2;5;2;"1";"1";21;"2";"1";"Manipulation_peerreview";4,2
"58";"1";"1";6;3;2;5;2;"1";"1";20;"2";"1";"Manipulation_preprint";3,6
"59";"1";"1";5;4;4;5;3;"1";"1";18;"1";"1";"Manipulation_peerreview";4,2
"62";"1";"1";6;5;3;5;2;"1";"1";26;"2";"1";"Manipulation_peerreview";4,2
"63";"1";"1";4;4;4;4;4;"1";"2";22;"2";"1";"Manipulation_preprint";4
"64";"1";"2";2;2;3;3;3;"1";"1";21;"1";"1";"Manipulation_peerreview";2,6
"65";"1";"1";4;3;4;5;2;"1";"1";22;"1";"1";"Manipulation_peerreview";3,6
"66";"1";"1";7;4;3;5;3;"1";"1";20;"2";"1";"Manipulation_peerreview";4,4
"67";"1";"1";4;6;3;2;5;"1";"1";42;"2";"2";"Manipulation_peerreview";4
"69";"1";"1";5;2;1;2;1;"1";"2";29;"1";"1";"Manipulation_preprint";2,2
"70";"1";"1";5;4;2;3;5;"1";"1";21;"2";"1";"Manipulation_peerreview";3,8
"71";"1";"1";4;5;2;3;2;"1";"2";24;"1";"1";"Manipulation_preprint";3,2
"72";"1";"1";6;6;1;4;5;"1";"1";19;"1";"1";"Manipulation_preprint";4,4
"73";"1";"1";6;6;5;4;3;"1";"1";19;"1";"1";"Manipulation_peerreview";4,8
"74";"1";"1";6;6;2;4;4;"1";"1";23;"2";"1";"Manipulation_peerreview";4,4
"75";"1";"1";1;4;1;2;1;"1";"1";24;"1";"1";"Manipulation_preprint";1,8
"78";"1";"1";5;2;2;3;3;"1";"2";23;"1";"1";"Manipulation_preprint";3
"79";"1";"2";6;4;4;5;3;"1";"1";23;"2";"2";"Manipulation_preprint";4,4
"80";"1";"1";5;3;5;5;3;"1";"2";33;"2";"1";"Manipulation_peerreview";4,2
"81";"2";"1";6;4;3;5;2;"1";"1";21;"2";"1";"Manipulation_preprint";4
"82";"1";"1";6;7;3;7;3;"1";"1";19;"1";"1";"Manipulation_peerreview";5,2
"83";"1";"1";6;3;3;6;5;"1";"1";24;"2";"1";"Manipulation_peerreview";4,6
"84";"1";"1";6;2;2;2;4;"1";"1";33;"2";"1";"Manipulation_preprint";3,2
"85";"";"";5;5;5;5;5;"1";"1";21;"2";"2";"Manipulation_preprint";5
"86";"1";"1";7;6;4;5;5;"1";"2";20;"2";"1";"Manipulation_peerreview";5,4
"87";"1";"1";3;4;3;3;4;"1";"1";24;"2";"2";"Manipulation_peerreview";3,4
"88";"1";"1";5;3;3;3;4;"1";"1";24;"2";"2";"Manipulation_peerreview";3,6
"91";"1";"1";4;5;3;6;3;"1";"1";22;"1";"1";"Manipulation_preprint";4,2
"92";"1";"1";5;4;3;6;3;"1";"1";20;"1";"1";"Manipulation_preprint";4,2
"93";"1";"1";4;3;4;5;5;"1";"1";24;"1";"1";"Manipulation_preprint";4,2
"94";"1";"1";4;7;2;6;1;"1";"1";22;"1";"1";"Manipulation_peerreview";4
"95";"1";"1";5;4;3;5;2;"1";"2";20;"2";"1";"Manipulation_preprint";3,8
"96";"1";"1";5;5;2;6;5;"1";"1";23;"2";"1";"Manipulation_peerreview";4,6
"98";"1";"1";6;4;2;4;2;"1";"1";23;"1";"1";"Manipulation_peerreview";3,6
"99";"1";"1";5;5;3;4;3;"1";"1";22;"1";"1";"Manipulation_preprint";4
"100";"1";"1";5;5;4;4;2;"1";"2";23;"2";"1";"Manipulation_peerreview";4
"101";"1";"1";5;4;1;3;2;"1";"1";23;"2";"1";"Manipulation_preprint";3
"103";"1";"1";6;3;4;5;2;"1";"2";28;"2";"1";"Manipulation_peerreview";4
"104";"1";"1";5;3;3;4;4;"1";"1";22;"2";"2";"Manipulation_preprint";3,8
"105";"1";"1";5;3;2;6;3;"1";"1";19;"2";"1";"Manipulation_peerreview";3,8
"106";"1";"1";6;2;2;2;6;"1";"1";28;"1";"1";"Manipulation_peerreview";3,6
"107";"1";"1";3;5;3;6;2;"1";"1";20;"2";"1";"Manipulation_preprint";3,8
"108";"1";"2";2;3;1;4;2;"1";"1";21;"2";"1";"Manipulation_preprint";2,4
"109";"1";"1";3;3;3;7;5;"1";"2";21;"2";"1";"Manipulation_peerreview";4,2
"110";"1";"1";6;6;2;6;5;"1";"2";21;"2";"1";"Manipulation_preprint";5
"112";"2";"1";6;6;4;6;5;"1";"1";43;"2";"1";"Manipulation_peerreview";5,4
"113";"1";"1";6;6;2;2;2;"1";"1";22;"1";"1";"Manipulation_preprint";3,6
"114";"1";"1";6;3;5;6;6;"2";"1";20;"2";"2";"Manipulation_preprint";5,2
"115";"1";"1";6;5;1;3;4;"1";"1";19;"2";"1";"Manipulation_preprint";3,8
"117";"1";"1";5;2;3;5;4;"1";"1";21;"2";"1";"Manipulation_peerreview";3,8
"118";"1";"1";5;3;3;6;3;"1";"2";23;"2";"1";"Manipulation_peerreview";4
"120";"1";"1";5;3;2;5;5;"1";"1";44;"1";"1";"Manipulation_preprint";4
"122";"1";"1";6;1;3;5;1;"1";"1";20;"2";"1";"Manipulation_peerreview";3,2
"124";"1";"1";7;6;1;4;5;"1";"1";27;"2";"1";"Manipulation_preprint";4,6
"125";"1";"1";6;6;6;6;4;"1";"1";21;"2";"1";"Manipulation_peerreview";5,6
"126";"1";"1";5;4;2;4;2;"1";"1";20;"1";"1";"Manipulation_preprint";3,4
"127";"1";"1";6;3;2;6;2;"1";"1";23;"2";"1";"Manipulation_peerreview";3,8
"128";"1";"1";7;3;4;5;3;"1";"1";23;"2";"1";"Manipulation_preprint";4,4
"129";"1";"1";4;5;1;6;1;"1";"1";23;"1";"1";"Manipulation_preprint";3,4
"130";"1";"1";5;4;3;5;5;"1";"1";24;"1";"1";"Manipulation_peerreview";4,4
"131";"1";"2";5;6;1;1;5;"1";"1";18;"1";"1";"Manipulation_peerreview";3,6
"132";"1";"1";4;4;4;5;4;"1";"1";21;"1";"1";"Manipulation_preprint";4,2
"133";"1";"1";5;4;3;3;5;"1";"1";21;"2";"1";"Manipulation_peerreview";4
"134";"1";"1";7;5;2;7;7;"1";"1";23;"1";"1";"Manipulation_peerreview";5,6
"135";"1";"1";5;3;2;5;2;"1";"1";33;"2";"1";"Manipulation_preprint";3,4
"136";"1";"1";3;3;1;5;2;"1";"1";29;"2";"1";"Manipulation_peerreview";2,8
"138";"1";"1";5;2;3;6;3;"1";"1";21;"2";"1";"Manipulation_preprint";3,8
"139";"1";"1";5;2;2;2;2;"1";"1";27;"2";"1";"Manipulation_preprint";2,6
"140";"1";"1";6;5;2;6;3;"1";"2";23;"1";"1";"Manipulation_peerreview";4,4
"141";"1";"1";4;3;4;3;4;"1";"1";23;"1";"1";"Manipulation_peerreview";3,6
