"";"tuman_author";"tuman_authorb";"tu_warningauthor1";"tu_warningauthor2";"tu_warningauthor3";"tu_warningauthor1b";"tu_warningauthor2b";"tu_warningauthor3b";"tu_warningext1";"tu_warningext2";"tu_warningext3";"tu_warningext1b";"tu_warningext2b";"tu_warningext3b";"tu_manext";"tu_manextb";"tu_manpre";"tu_manpreb";"tu_manpeer";"tu_manpeerb";"credibility1";"credibility2";"credibility3";"credibility4";"credibility5";"quality_control";"standard_procedure";"gender";"gender_3_TEXT";"age";"knowledge_peerreview";"knowledge_preprints";"familiar";"education";"condition";"credibility"
"7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";3;4;2;4;3;3;3;"1";"";38;"2";"2";1;3;"peer-review";3,2
"10";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";7;7;6;6;6;6;7;"1";"";31;"1";"1";6;3;"preprint_noinfo";6,4
"11";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"7";"5";6;6;7;7;6;5;6;"2";"";25;"2";"2";7;3;"peer-review";6,4
"12";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";1;3;1;2;2;2;4;"2";"";38;"2";"2";1;4;"preprint_noinfo";1,8
"13";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";7;7;6;6;6;7;6;"1";"";50;"1";"1";6;4;"preprint_noinfo";6,4
"17";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";4;4;5;5;5;5;5;"1";"";25;"2";"2";4;3;"peer-review";4,6
"21";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";4;5;4;2;6;4;6;"1";"";43;"2";"1";4;3;"peer-review";4,2
"22";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";6;3;5;5;3;5;5;"1";"";27;"1";"2";5;3;"peer-review";4,4
"23";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";5;6;2;5;6;4;5;"1";"";33;"1";"2";3;2;"peer-review";4,8
"26";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";4;5;4;4;2;4;4;"2";"";42;"1";"1";3;3;"peer-review";3,8
"28";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3";"4";"";"";7;6;7;7;7;6;7;"1";"";32;"1";"1";7;4;"preprint_noinfo";6,8
